source,target,value
Brunei Darussalam,Indonesia,13518
Malaysia,Indonesia,1901242
Philippines,Indonesia,209458
Singapore,Indonesia,1414447
Thailand,Indonesia,111786
Vietnam,Indonesia,121879
Laos,Indonesia,3396
Kamboja,Indonesia,12611
Myanmar/Burma,Indonesia,40920
India,Indonesia,606439
Japan,Indonesia,251866
Korea Selatan,Indonesia,347185
Eropa,Indonesia,2000559
Ocenia,Indonesia,1625760
Afrika,Indonesia,71652
Indonesia,Malaysia,2103787
Indonesia,Singapura,1278213
Indonesia,Arab Saudi,1309040 
Indonesia,Thailand,354140
Indonesia,Kamboja,393991
Indonesia,Tiongkok,215793
Indonesia,Japan,221808
Indonesia,Vietnam,77445
Indonesia,Lainnya,1067683
