Provinsi;Wisatawan 2020;Wisatawan 2021;Wisatawan 2022;PDRB 2020;PDRB 2021;PDRB 2022
ACEH;4741268;5632315;7483957;131580,97;135274,04;140971,72
SUMATERA UTARA;13442477;16857305;21892296;533746,36;547651,82;573528,77
SUMATERA BARAT;7187800;8477593;10750168;169426,61;174999,89;182629,14
RIAU;5440820;6465613;9084411;489995,75;506471,91;529532,98
JAMBI;2399034;3066614;3892005;148354,25;153850,63;161730,02
SUMATERA SELATAN;5632226;6534906;8088606;315129,22;326405,18;343459,88
BENGKULU;1460728;1639658;1988998;46338,43;47853,78;49916,06
LAMPUNG;7870192;8855256;10745577;240319,59;246966,49;257534,19
KEP. BANGKA BELITUNG;864359;1005293;1586000;52705,94;55369,65;57805,15
KEP. RIAU;441966;504707;782185;174959,21;180952,44;190163,7
DKI JAKARTA;44352288;51705258;63081040;1792291,09;1856000,7;1953488,99
JAWA BARAT;90818341;97358488;128667116;1453380,72;1507746,39;1589984,93
JAWA TENGAH;118895290;134782286;103991668;965227,27;997321,13;1050278,09
DI YOGYAKARTA;22474988;24551526;18888517;101698,52;107372,56;112901,32
JAWA TIMUR;126676862;158616085;198913339;1611392,55;1668754,36;1757874,93
BANTEN;30449271;38396859;48935825;441148,58;460952,79;484131,22
BALI;7874397;9009667;11132389;147498,94;143871,68;150830,41
NUSA TENGGARA BARAT;3561028;3172037;4030281;93288,87;95437,86;102073,66
NUSA TENGGARA TIMUR;1970671;2762675;3264914;68809,61;70540,56;72695,28
KALIMANTAN BARAT;1755287;2271124;3138799;134743,38;141212,04;148368,94
KALIMANTAN TENGAH;1451039;1727916;2438971;98933,61;102481,47;109094,72
KALIMANTAN SELATAN;4399364;4506915;5716978;130864,32;135424,59;142341,22
KALIMANTAN TIMUR;2291348;2365615;5266467;472393,33;484439,61;506158,91
KALIMANTAN UTARA;211975;229797;334625;60746,21;63168,43;66528,39
SULAWESI UTARA;2378983;3690956;4809131;88126,37;91790,69;96768,15
SULAWESI TENGAH;1388356;1791212;5205728;134152,69;149815,86;172624,82
SULAWESI SELATAN;8845896;9974040;30089324;328154,57;343395,41;360895,02
SULAWESI TENGGARA;1938708;2509188;12754805;93445,72;97275,32;102656,43
GORONTALO;945856;1299319;1619987;28425,38;29107,91;30284,29
SULAWESI BARAT;710969;952328;3021169;32074,02;32898,3;33658,22
MALUKU;266371;535755;596315;30765,89;31881,23;33574,66
MALUKU UTARA;480376;621652;1146400;28031,44;32738,67;40248,38
PAPUA BARAT;348137;551066;473811;61604,13;61289,4;62518,53
PAPUA;604721;878435;1052891;137787,29;158675,15;172907,29
